dfs.blocksize
dfs.replication
io.file.buffer.size
io.seqfile.compress.blocksize
io.seqfile.sorter.recordlimit
mapred.child.java.opts
mapreduce.input.fileinputformat.split.maxsize
mapreduce.input.fileinputformat.split.minsize
mapreduce.job.jvm.numtasks
mapreduce.job.max.split.locations
mapreduce.job.reduce.slowstart.completedmaps
mapreduce.job.ubertask.enable
mapreduce.job.ubertask.maxmaps
mapreduce.job.ubertask.maxreduces
mapreduce.map.cpu.vcores
mapreduce.map.java.opts
mapreduce.map.memory.mb
mapreduce.map.output.compress
mapreduce.map.output.compress.codec
mapreduce.map.sort.spill.percent
mapreduce.map.speculative
mapreduce.output.fileoutputformat.compress
mapreduce.output.fileoutputformat.compress.codec
mapreduce.output.fileoutputformat.compress.type
mapreduce.reduce.cpu.vcores
mapreduce.reduce.input.buffer.percent
mapreduce.reduce.java.opts
mapreduce.reduce.memory.mb
mapreduce.reduce.merge.inmem.threshold
mapreduce.reduce.shuffle.input.buffer.percent
mapreduce.reduce.shuffle.memory.limit.percent
mapreduce.reduce.shuffle.merge.percent
mapreduce.reduce.shuffle.parallelcopies
mapreduce.shuffle.max.connections
mapreduce.shuffle.max.threads
mapreduce.task.io.sort.factor
mapreduce.task.io.sort.mb
mapreduce.tasktracker.http.threads
mapreduce.tasktracker.map.tasks.maximum
mapreduce.tasktracker.reduce.tasks.maximum
yarn.app.mapreduce.am.command-opts
yarn.app.mapreduce.am.resource.cpu-vcores
yarn.app.mapreduce.am.resource.mb
yarn.nodemanager.resource.percentage-physical-cpu-limit
yarn.nodemanager.vmem-check-enabled
yarn.resourcemanager.scheduler.class
yarn.resourcemanager.store.class
yarn.scheduler.maximum-allocation-mb
yarn.scheduler.maximum-allocation-vcores
